Source Plate,Source Well,Dest Plate,Dest Well,Volume
Plate2,A2,PCR_Plate,A1,12.5
Plate2,E7,PCR_Plate,A2,12.5
Plate2,E7,PCR_Plate,A3,12.5
Plate1,G8,PCR_Plate,A4,12.5
Plate2,A5,PCR_Plate,A5,12.5
Plate2,A5,PCR_Plate,A6,12.5
Plate1,G8,PCR_Plate,A7,12.5
Plate2,A5,PCR_Plate,A8,12.5
Plate1,E5,PCR_Plate,A9,12.5
Plate1,E5,PCR_Plate,A10,12.5
Plate2,A5,PCR_Plate,A11,12.5
Plate2,E12,PCR_Plate,A12,12.5
Plate2,E12,PCR_Plate,B1,12.5
Plate1,E5,PCR_Plate,B2,12.5
Plate2,C10,PCR_Plate,B3,12.5
Plate2,C10,PCR_Plate,B4,12.5
Plate1,E5,PCR_Plate,B5,12.5
Plate2,E12,PCR_Plate,B6,12.5
Plate2,C10,PCR_Plate,B7,12.5
Plate1,E5,PCR_Plate,B8,12.5
Plate2,G5,PCR_Plate,B9,12.5
Plate2,G5,PCR_Plate,B10,12.5
Plate2,E12,PCR_Plate,B11,12.5
Plate2,C10,PCR_Plate,B12,12.5
Plate1,C12,PCR_Plate,C1,12.5
Plate1,C12,PCR_Plate,C2,12.5
Plate1,F6,PCR_Plate,C3,12.5
Plate2,D11,PCR_Plate,C4,12.5
Plate2,C4,PCR_Plate,C5,12.5
Plate2,D11,PCR_Plate,C6,12.5
Plate1,C7,PCR_Plate,C7,12.5
Plate1,C7,PCR_Plate,C8,12.5
Plate2,E12,PCR_Plate,C9,12.5
Plate2,G5,PCR_Plate,C10,12.5
Plate2,C10,PCR_Plate,C11,12.5
Plate2,G4,PCR_Plate,C12,12.5
Plate2,G4,PCR_Plate,D1,12.5
Plate1,C12,PCR_Plate,D2,12.5
Plate1,F6,PCR_Plate,D3,12.5
Plate2,G5,PCR_Plate,D4,12.5
Plate2,D11,PCR_Plate,D5,12.5
Plate1,E2,PCR_Plate,D6,12.5
Plate1,E2,PCR_Plate,D7,12.5
Plate1,C7,PCR_Plate,D8,12.5
Plate2,E12,PCR_Plate,D9,12.5
Plate1,C12,PCR_Plate,D10,12.5
Plate1,F7,PCR_Plate,D11,12.5
Plate2,D11,PCR_Plate,D12,12.5
Plate2,G5,PCR_Plate,E1,12.5
Plate1,G2,PCR_Plate,E2,12.5
Plate1,G2,PCR_Plate,E3,12.5
Plate1,C7,PCR_Plate,E4,12.5
Plate2,G4,PCR_Plate,E5,12.5
Plate1,E1,PCR_Plate,E6,12.5
Plate1,A7,PCR_Plate,E7,12.5
Plate1,G2,PCR_Plate,E8,12.5
Plate1,E2,PCR_Plate,E9,12.5
Plate2,D11,PCR_Plate,E10,12.5
Plate2,A8,PCR_Plate,E11,12.5
Plate1,C7,PCR_Plate,E12,12.5
Plate2,G4,PCR_Plate,F1,12.5
Plate2,A8,PCR_Plate,F2,12.5
Plate2,C10,PCR_Plate,F3,12.5
Plate2,G9,PCR_Plate,F4,12.5
Plate2,G9,PCR_Plate,F5,12.5
Plate2,C4,PCR_Plate,F6,12.5
Plate2,C4,PCR_Plate,F7,12.5
Plate1,F7,PCR_Plate,F8,12.5
Plate1,F7,PCR_Plate,F9,12.5
Plate1,E2,PCR_Plate,F10,12.5
Plate1,G2,PCR_Plate,F11,12.5
Plate2,G5,PCR_Plate,F12,12.5
Plate1,E1,PCR_Plate,G1,12.5
Plate1,E1,PCR_Plate,G2,12.5
Plate1,A7,PCR_Plate,G3,12.5
Plate2,F11,PCR_Plate,G4,12.5
Plate2,F11,PCR_Plate,G5,12.5
Plate2,G4,PCR_Plate,G6,12.5
Plate1,G3,PCR_Plate,G7,12.5
Plate1,G3,PCR_Plate,G8,12.5
Plate1,C12,PCR_Plate,G9,12.5
Plate1,G2,PCR_Plate,G10,12.5
Plate1,F6,PCR_Plate,G11,12.5
Plate2,D11,PCR_Plate,G12,12.5
Plate1,E2,PCR_Plate,H1,12.5
Plate1,F2,PCR_Plate,H2,12.5
Plate2,A8,PCR_Plate,H3,12.5
Plate1,C7,PCR_Plate,H4,12.5
Plate1,A7,PCR_Plate,H5,12.5
Plate2,G9,PCR_Plate,H6,12.5
